Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,Straight Party
Addison 1,510,123,10,0,2,1,5,651,1
Addison 2,549,139,5,3,5,0,3,704,1
Addison 3,327,110,4,0,2,0,1,444,1
Bloomfield 1,224,153,3,0,2,0,1,383,1
Bloomfield 2,171,142,2,0,1,0,0,316,1
Bloomfield 3,238,253,6,1,1,0,0,499,1
Bloomfield 4,270,226,2,0,4,0,1,503,1
Bloomfield 5,230,188,1,0,2,0,0,421,1
Bloomfield 6,349,151,4,1,0,0,0,505,1
Bloomfield 7,141,151,1,0,1,0,1,295,1
Bloomfield 8,658,189,0,0,0,0,0,847,1
Bloomfield 9,367,203,4,0,1,0,0,575,1
Bloomfield 10,297,339,1,1,3,0,0,641,1
Bloomfield 11,276,278,2,0,1,0,0,557,1
Bloomfield 12,258,272,4,0,2,0,2,538,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Bloomfield 13,292,167,4,0,1,0,0,464,1
Bloomfield 14,373,149,7,1,3,0,1,534,1
Bloomfield 15,177,137,3,0,0,0,0,317,1
Bloomfield 16,173,202,4,1,5,0,0,385,1
Bloomfield 17,92,133,3,0,0,0,1,229,1
Bloomfield 18,205,165,1,0,1,0,2,374,1
Bloomfield 19,313,175,3,0,1,0,1,493,1
Bloomfield 20,176,262,3,0,1,0,1,443,1
Bloomfield 21,310,147,2,0,2,0,1,462,1
Bloomfield 22,266,259,3,1,0,0,0,529,1
Bloomfield 23,286,100,1,0,1,0,0,388,1
Bloomfield 24,248,161,2,0,2,0,0,413,1
Bloomfield 25,70,193,4,0,2,0,1,270,1
Bloomfield 26,237,157,5,0,1,0,1,401,1
Bloomfield 27,110,208,3,0,1,0,0,322,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Bloomfield 28,178,59,0,0,0,0,0,237,1
Bloomfield 29,270,167,3,0,3,0,1,444,1
Bloomfield 30,296,287,3,0,1,0,0,587,1
Bloomfield 31,257,94,0,0,2,0,1,354,1
Bloomfield 32,244,259,0,0,1,0,1,505,1
Brandon 1,410,169,11,1,8,1,6,606,1
Brandon 2,535,190,8,2,7,0,4,746,1
Brandon 3,526,183,16,3,6,2,4,740,1
Brandon 4,642,222,16,1,9,0,7,897,1
Brandon 5,220,195,8,3,5,0,4,435,1
Brandon 6,158,96,4,3,6,0,4,271,1
Commerce 1,303,128,10,0,3,0,1,445,1
Commerce 2,394,244,9,0,7,0,4,658,1
Commerce 3,451,414,8,0,5,0,3,881,1
Commerce 4,401,229,7,2,7,0,8,654,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Commerce 5,486,237,10,1,2,0,4,740,1
Commerce 6,323,195,6,2,10,0,2,538,1
Commerce 7,481,156,9,0,6,0,1,653,1
Commerce 8,522,194,9,1,2,0,3,731,1
Commerce 9,504,229,7,1,7,1,4,753,1
Commerce 10,401,246,8,2,8,0,8,673,1
Commerce 11,504,365,4,0,4,0,3,880,1
Commerce 12,240,143,8,2,4,0,2,399,1
Commerce 13,381,246,11,0,4,0,5,647,1
Commerce 14,267,188,12,2,6,0,10,485,1
Commerce 15,354,200,4,1,2,1,0,562,1
Groveland 1,419,115,5,4,5,0,5,553,1
Groveland 2,337,125,7,2,5,0,9,485,1
Groveland 3,338,91,4,0,4,0,0,437,1
Highland 1,669,192,15,5,5,1,3,890,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Highland 2,446,158,8,1,2,2,8,625,1
Highland 3,263,114,7,0,3,1,8,396,1
Highland 4,473,201,12,1,4,0,5,696,1
Highland 5,328,107,8,1,1,0,4,449,1
Highland 6,445,161,8,1,3,1,7,626,1
Highland 7,304,92,17,1,2,0,6,422,1
Highland 8,304,125,11,1,2,1,3,447,1
Holly 1,357,287,17,2,8,0,10,681,1
Holly 2,332,228,22,3,11,0,7,603,1
Holly 3,425,219,9,1,4,0,6,664,1
Holly 4,485,289,8,0,3,0,4,789,1
Independence 1,650,236,13,0,2,0,3,904,1
Independence 2,472,181,8,0,2,0,3,666,1
Independence 3,541,171,7,0,2,0,3,724,1
Independence 4,549,181,7,1,4,0,1,743,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Independence 5,614,228,7,1,1,0,7,858,1
Independence 6,477,234,12,4,2,2,2,733,1
Independence 7,521,316,13,1,4,0,3,858,1
Independence 8,428,146,5,0,2,1,2,584,1
Independence 9,594,176,7,0,8,0,4,789,1
Independence 10,451,292,26,1,9,0,13,792,1
Independence 11,537,283,18,2,6,1,4,851,1
Independence 12,276,132,2,1,3,0,2,416,1
Independence 13,370,206,8,1,3,0,5,593,1
Lyon 1,478,234,14,1,3,1,4,735,1
Lyon 2,503,262,8,0,3,1,2,779,1
Lyon 3,436,206,14,3,5,0,3,667,1
Lyon 4,405,216,5,1,2,0,5,634,1
Lyon 5,475,213,12,0,2,0,2,704,1
Lyon 6,845,299,7,1,1,0,2,"1,155",1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Milford 1,439,138,9,0,1,0,3,590,1
Milford 2,331,152,12,0,10,0,5,510,1
Milford 3,480,172,10,0,2,0,2,666,1
Milford 4,710,284,11,1,1,0,2,"1,009",1
Milford 5,100,92,2,0,1,0,3,198,1
Milford 6,247,151,6,0,3,0,5,412,1
Milford 7,416,208,9,1,4,0,0,638,1
Milford 8,259,144,5,1,4,0,0,413,1
Novi Twp 1,32,23,0,0,0,0,0,55,1
Oakland 1,510,161,9,1,3,1,0,685,1
Oakland 2,495,208,12,1,3,2,7,728,1
Oakland 3,276,71,3,0,3,0,1,354,1
Oakland 4,470,150,6,0,1,1,1,629,1
Oakland 5,447,265,5,0,3,0,0,720,1
Oakland 6,650,182,9,0,3,0,0,844,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Oakland 7,669,226,4,0,3,0,1,903,1
Oakland 8,443,179,5,0,4,0,0,631,1
Orion 1,409,191,10,0,8,0,2,620,1
Orion 2,486,247,14,1,11,0,9,768,1
Orion 3,464,182,5,2,3,1,0,657,1
Orion 4,502,207,11,2,1,0,1,724,1
Orion 5,569,232,11,0,3,0,3,818,1
Orion 6,378,165,6,0,3,0,3,555,1
Orion 7,314,231,12,1,3,1,6,568,1
Orion 8,327,166,4,1,0,2,2,502,1
Orion 9,387,275,16,1,7,0,0,686,1
Orion 10,334,175,5,0,1,0,1,516,1
Orion 11,252,134,8,3,3,1,6,407,1
Orion 12,382,233,10,1,5,1,7,639,1
Orion 13,413,213,8,1,6,0,1,642,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Orion 14,253,131,5,0,2,0,2,393,1
Orion 15,341,259,9,0,3,0,4,616,1
Oxford 1,570,233,18,0,11,1,5,838,1
Oxford 2,337,149,18,0,5,0,7,516,1
Oxford 3,585,222,8,0,3,0,5,823,1
Oxford 4,592,166,9,1,7,0,2,777,1
Oxford 5,341,190,5,2,4,1,7,550,1
Oxford 6,535,153,10,0,6,0,5,709,1
Oxford 7,461,213,7,1,7,0,1,690,1
Rose 1,282,136,11,0,2,0,1,432,1
Rose 2,416,146,5,1,3,1,8,580,1
Rose 3,461,160,10,2,4,0,5,642,1
Royal Oak Twp 1,6,557,0,1,5,0,3,572,1
Royal Oak Twp 2,4,508,0,0,1,0,0,513,1
Southfield Twp 1,120,150,3,1,2,0,0,276,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Southfield Twp 2,181,186,3,0,1,0,0,371,1
Southfield Twp 3,131,121,1,1,2,0,1,257,1
Southfield Twp 4,243,146,5,0,1,0,0,395,1
Southfield Twp 5,215,299,2,1,2,0,2,521,1
Southfield Twp 6,416,326,2,0,2,0,0,746,1
Southfield Twp 7,205,136,6,1,1,0,0,349,1
Southfield Twp 8,233,279,3,1,3,0,0,519,1
Southfield Twp 9,196,229,0,0,2,0,0,427,1
Southfield Twp 10,223,160,4,1,2,0,0,390,1
Springfield 1,395,119,5,1,4,0,1,525,1
Springfield 2,336,164,9,0,0,0,5,514,1
Springfield 3,532,157,11,0,4,0,7,711,1
Springfield 4,330,163,6,1,4,0,2,506,1
Springfield 5,454,139,8,4,4,0,3,612,1
Springfield 6,387,174,15,2,2,0,4,584,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Springfield 7,224,63,5,1,1,0,0,294,1
Waterford 1,344,178,12,1,4,0,4,543,1
Waterford 2,321,213,6,3,3,0,14,560,1
Waterford 3,249,131,5,0,2,1,7,395,1
Waterford 4,323,237,12,0,3,0,9,584,1
Waterford 5,306,184,15,0,3,0,7,515,1
Waterford 6,341,241,20,2,5,0,9,618,1
Waterford 7,372,158,6,1,3,0,6,546,1
Waterford 8,415,177,8,2,8,1,5,616,1
Waterford 9,286,151,8,0,1,0,3,449,1
Waterford 10,342,232,10,0,2,0,5,591,1
Waterford 11,325,170,3,3,4,2,10,517,1
Waterford 12,290,202,9,3,3,0,4,511,1
Waterford 13,186,321,14,0,8,0,6,535,1
Waterford 14,264,151,9,1,4,0,4,433,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Waterford 15,265,246,9,0,4,0,6,530,1
Waterford 16,339,216,7,1,9,3,4,579,1
Waterford 17,284,331,15,3,7,0,7,647,1
Waterford 18,266,178,8,1,8,0,6,467,1
Waterford 19,260,240,11,1,7,0,4,523,1
Waterford 20,197,296,7,2,7,0,6,515,1
Waterford 21,199,251,12,3,4,0,4,473,1
Waterford 22,391,287,11,0,7,0,7,703,1
Waterford 23,413,243,9,2,5,0,8,680,1
Waterford 24,383,287,7,0,6,3,1,687,1
Waterford 25,360,237,11,2,3,0,8,621,1
Waterford 26,227,273,7,0,1,1,9,518,1
Waterford 27,367,274,14,0,7,0,10,672,1
Waterford 28,321,249,8,1,7,1,5,592,1
Waterford 29,295,207,10,1,3,0,5,521,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
W. Bloomfield 1,337,497,2,1,5,1,2,845,1
W. Bloomfield 2,386,295,9,1,9,0,5,705,1
W. Bloomfield 3,173,214,3,0,2,1,0,393,1
W. Bloomfield 4,386,390,8,2,10,0,2,798,1
W. Bloomfield 5,429,405,7,1,6,0,0,848,1
W. Bloomfield 6,289,454,5,1,3,0,2,754,1
W. Bloomfield 7,186,407,9,0,5,0,0,607,1
W. Bloomfield 8,384,350,7,0,2,0,1,744,1
W. Bloomfield 9,202,407,3,0,2,0,0,614,1
W. Bloomfield 10,384,474,10,1,4,1,2,876,1
W. Bloomfield 11,250,628,6,3,6,0,0,893,1
W. Bloomfield 12,253,781,6,0,3,0,5,"1,048",1
W. Bloomfield 13,266,393,5,0,4,0,2,670,1
W. Bloomfield 14,317,232,12,0,4,0,2,567,1
W. Bloomfield 15,351,623,5,0,5,0,1,985,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
W. Bloomfield 16,425,435,4,3,2,0,3,872,1
W. Bloomfield 17,302,495,2,1,3,0,0,803,1
W. Bloomfield 18,334,322,3,1,3,0,2,665,1
W. Bloomfield 19,209,645,2,0,2,0,2,860,1
W. Bloomfield 20,164,345,4,1,2,1,1,518,1
W. Bloomfield 21,286,480,3,2,4,0,1,776,1
W. Bloomfield 22,361,581,4,3,6,0,0,955,1
W. Bloomfield 23,416,698,5,0,3,0,5,"1,127",1
W. Bloomfield 24,372,393,3,1,3,0,1,773,1
W. Bloomfield 25,368,325,6,1,2,0,3,705,1
White Lake 1,470,262,5,0,3,1,2,743,1
White Lake 2,502,209,10,3,4,0,10,738,1
White Lake 3,306,118,1,0,4,0,0,429,1
White Lake 4,232,75,7,0,4,0,4,322,1
White Lake 5,483,225,6,1,5,0,0,720,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
White Lake 6,493,263,10,4,10,1,11,792,1
White Lake 7,364,174,6,0,5,0,2,551,1
White Lake 8,494,237,12,3,5,2,15,768,1
White Lake 9,346,237,13,5,8,1,7,617,1
White Lake 10,325,187,9,1,12,0,10,544,1
White Lake 11,509,196,15,0,3,1,9,733,1
White Lake 12,275,156,6,0,0,0,2,439,1
Auburn Hills 1,169,166,8,1,0,0,1,345,1
Auburn Hills 2,158,411,8,0,3,1,4,585,1
Auburn Hills 3,240,324,14,1,8,0,4,591,1
Auburn Hills 4,249,312,13,1,5,0,4,584,1
Auburn Hills 5,226,211,6,0,4,0,1,448,1
Auburn Hills 6,442,331,9,2,0,0,2,786,1
Auburn Hills 7,172,564,9,0,3,0,7,755,1
Auburn Hills 8,197,388,8,1,4,0,6,604,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Auburn Hills 9,160,245,6,0,1,0,0,412,1
Berkley 1,222,317,12,1,6,0,1,559,1
Berkley 2,238,311,6,1,3,0,3,562,1
Berkley 3,204,331,5,0,5,0,1,546,1
Berkley 4,207,332,5,0,2,1,10,557,1
Berkley 5,199,280,7,0,4,0,2,492,1
Berkley 6,223,326,12,0,10,0,5,576,1
Berkley 7,225,311,7,0,0,2,2,547,1
Birmingham 1,389,240,7,0,0,0,0,636,1
Birmingham 2,358,276,8,0,1,0,3,646,1
Birmingham 3,301,298,7,1,6,0,1,614,1
Birmingham 4,435,204,5,1,0,0,1,646,1
Birmingham 5,354,280,2,1,2,0,0,639,1
Birmingham 6,425,350,8,0,4,0,0,787,1
Birmingham 7,369,335,9,0,4,0,1,718,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Birmingham 8,311,326,11,1,3,1,0,653,1
Birmingham 9,251,238,2,0,5,0,0,496,1
Bloomfield Hills 1,540,271,3,2,2,0,0,818,1
Bloomfield Hills 2,382,175,2,0,2,0,0,561,1
Clarkston 1,159,83,2,0,0,0,0,244,1
Clawson 1,346,425,11,1,11,0,3,797,1
Clawson 2,236,260,15,0,5,0,2,518,1
Clawson 3,257,240,5,1,4,0,3,510,1
Clawson 4,255,198,15,0,5,0,10,483,1
Clawson 5,320,276,12,0,4,0,5,617,1
Farmington 1,179,184,7,0,3,0,0,373,1
Farmington 2,192,301,9,0,2,0,1,505,1
Farmington 3,182,277,14,0,1,0,1,475,1
Farmington 4,136,283,4,1,3,0,0,427,1
Farmington 5,179,255,6,0,2,0,2,444,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Farmington 6,199,301,3,0,1,1,2,507,1
Farmington Hills 1,259,619,9,1,8,1,3,900,1
Farmington Hills 2,305,672,7,1,8,0,1,994,1
Farmington Hills 3,315,585,8,0,0,0,1,909,1
Farmington Hills 4,346,648,2,0,3,0,2,"1,001",1
Farmington Hills 5,389,413,4,1,3,0,1,811,1
Farmington Hills 6,112,396,3,0,4,0,2,517,1
Farmington Hills 7,425,537,5,0,1,0,1,969,1
Farmington Hills 8,338,429,6,1,2,0,2,778,1
Farmington Hills 9,423,578,5,1,4,0,1,"1,012",1
Farmington Hills 10,378,694,9,1,4,1,4,"1,091",1
Farmington Hills 11,289,782,9,1,5,1,4,"1,091",1
Farmington Hills 12,240,611,6,0,3,0,1,861,1
Farmington Hills 13,302,446,4,3,4,0,1,760,1
Farmington Hills 14,431,377,8,2,4,1,2,825,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Farmington Hills 15,219,257,8,0,6,0,1,491,1
Farmington Hills 16,417,597,11,1,6,0,2,"1,034",1
Farmington Hills 17,119,780,17,0,7,1,2,926,1
Farmington Hills 18,254,331,4,1,3,2,1,596,1
Farmington Hills 19,246,621,7,0,4,0,3,881,1
Farmington Hills 20,305,754,9,3,5,0,8,"1,084",1
Farmington Hills 21,373,565,19,0,13,0,8,978,1
Farmington Hills 22,298,378,10,0,3,0,1,690,1
Farmington Hills 23,366,378,2,2,2,0,3,753,1
Farmington Hills 24,514,610,8,2,4,0,7,"1,145",1
Farmington Hills 25,371,703,12,3,1,1,3,"1,094",1
Farmington Hills 26,304,584,20,1,8,1,9,927,1
Farmington Hills 27,292,635,19,1,10,6,10,973,1
Fenton 2,4,2,0,0,0,0,0,6,1
Ferndale 1,180,644,10,1,10,0,0,845,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Ferndale 2,122,449,15,1,8,0,2,597,1
Ferndale 3,104,481,12,1,11,0,3,612,1
Ferndale 4,141,404,9,0,9,0,0,563,1
Ferndale 5,115,444,16,0,10,0,4,589,1
Ferndale 6,204,383,9,1,7,2,3,609,1
Ferndale 7,132,343,18,1,9,0,4,507,1
Ferndale 8,75,257,8,1,3,0,1,345,1
Ferndale 9,110,491,11,1,13,0,3,629,1
Hazel Park 1,236,545,21,4,18,3,13,840,1
Hazel Park 2,197,316,12,0,2,0,7,534,1
Hazel Park 3,314,516,10,2,14,1,19,876,1
Hazel Park 4,170,274,6,3,8,0,6,467,1
Hazel Park 5,269,476,13,1,9,1,11,780,1
Huntington Woods 1,81,317,2,0,0,0,0,400,1
Huntington Woods 2,93,254,5,1,2,0,1,356,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Huntington Woods 3,81,265,3,0,1,0,0,350,1
Huntington Woods 4,43,281,3,0,0,0,0,327,1
Huntington Woods 5,75,238,5,0,2,0,0,320,1
Keego Harbor 1,352,324,11,4,11,1,3,706,1
Lake Angelus 1,111,13,1,0,1,0,0,126,1
Lathrup Village 1,104,719,3,0,1,0,0,827,1
Lathrup Village 2,94,793,5,1,3,0,1,897,1
Madison Heights 1,192,284,9,0,6,1,12,504,1
Madison Heights 2,208,286,6,4,8,0,3,515,1
Madison Heights 3,223,317,8,2,2,1,9,562,1
Madison Heights 4,232,288,8,1,10,1,9,549,1
Madison Heights 5,195,234,6,3,2,0,5,445,1
Madison Heights 6,49,122,1,0,0,0,1,173,1
Madison Heights 7,367,350,12,0,2,0,7,738,1
Madison Heights 8,394,439,14,3,8,1,6,865,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Madison Heights 9,327,365,19,2,8,0,9,730,1
Madison Heights 10,312,286,7,0,3,0,3,611,1
Madison Heights 11,228,564,13,3,5,0,11,824,1
Northville 2,543,419,7,0,4,0,0,973,1
Novi 1,375,303,8,1,2,1,0,690,1
Novi 2,445,413,9,1,5,1,3,877,1
Novi 3,268,433,7,2,2,0,3,715,1
Novi 4,284,370,10,1,5,1,2,673,1
Novi 5,195,338,6,0,4,0,1,544,1
Novi 6,269,418,13,1,5,0,2,708,1
Novi 7,283,378,7,0,2,0,5,675,1
Novi 8,306,341,8,0,6,0,1,662,1
Novi 9,374,543,7,0,7,1,3,935,1
Novi 10,347,172,5,0,0,0,1,525,1
Novi 11,325,280,6,1,4,0,3,619,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Novi 12,272,723,21,1,7,0,4,"1,028",1
Novi 13,231,327,5,0,4,0,6,573,1
Novi 14,236,264,10,0,3,0,0,513,1
Novi 15,411,280,4,1,3,0,1,700,1
Novi 16,483,379,7,1,3,0,1,874,1
Novi 17,481,324,2,1,3,0,2,813,1
Novi 18,503,294,7,1,1,0,1,807,1
Novi 19,410,210,0,1,3,0,0,624,1
Novi 20,341,196,2,1,3,0,0,543,1
Novi 21,326,255,3,2,1,0,0,587,1
Novi 22,172,269,8,1,7,1,7,465,1
Oak Park 1,75,347,4,0,4,1,2,433,1
Oak Park 2,201,351,3,0,1,0,1,557,1
Oak Park 3,185,390,6,0,4,0,4,589,1
Oak Park 4,179,361,2,1,2,0,2,547,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Oak Park 5,28,441,3,1,2,0,2,477,1
Oak Park 6,77,651,3,0,1,0,2,734,1
Oak Park 7,33,777,0,1,3,0,1,815,1
Oak Park 8,18,841,4,2,5,0,1,871,1
Oak Park 9,26,830,6,0,2,0,1,865,1
Oak Park 10,24,916,3,2,5,0,7,957,1
Oak Park 11,54,537,10,0,2,1,2,606,1
Oak Park 12,33,802,1,1,3,1,2,843,1
Oak Park 13,43,755,6,1,7,0,3,815,1
Oak Park 14,68,422,6,4,4,0,2,506,1
Oak Park 15,42,518,5,0,5,0,2,572,1
Oak Park 16,102,419,5,0,6,1,1,534,1
Orchard Lake 1,561,284,3,0,1,0,0,849,1
Pleasant Ridge 1,101,296,5,0,1,0,1,404,1
